key,code,instantiation-moment,provider-name,customer-name,goals,budget,key:project
contract-01,ABC-123,2000/01/01 00:00,P,C,g,0,project-01
contract-02,XYZ-456,2022/07/08 19:25,ProviderNaProviderNaProviderNaProviderNaProviderNaProviderNaProviderNaProvi,CustomerNaCustomerNaCustomerNaCustomerNaCustomerNaCustomerNaCustomerNaCusto,GoalExamplGoalExamplGoalExamplGoalExamplGoalExamplGoalExamplGoalExamplGoalExamplGoalExamplGoalExampl,10.23,project-01
contract-03,A-789,2022/07/07 14:45,"""$%&""""""""@ñ·#¿?""","""$%&""""""""@ñ·#¿?""","""$%&""""""""@ñ·#¿?""",8.76,project-02
contract-04,BC-012,2022/07/06 23:10,這是一個項目,這是一個項目,這是一個項目,14.58,project-03
contract-05,D-345,2022/07/05 11:55,<h1>Trying to hack...</h1>,<h1>Trying to hack...</h1>,<h1>Trying to hack...</h1>,6.92,project-04
contract-06,XY-678,2022/07/04 06:20,ProviderName,CustomerName,Goal1,12.35,project-05
contract-07,Z-901,2022/07/03 16:30,ProviderName,CustomerName,Goal1,5.47,project-06
contract-08,EF-234,2022/07/02 03:40,ProviderName,CustomerName,Goal1,17.81,project-07
contract-09,GH-567,2022/07/01 20:15,ProviderName,CustomerName,Goal1,3.94,project-08
contract-10,FAS-542,null,ProviderName,CustomerName,Goal1,null,project-09
contract-11,LMN-123,2022/06/29 18:00,ProviderName,CustomerName,Goal1,16.12,project-10
contract-12,OPQ-456,2022/06/28 08:05,ProviderName,CustomerName,Goal1,7.89,project-11
contract-13,RST-789,2022/06/27 13:20,ProviderName,CustomerName,Goal1,11.24,project-12
contract-14,UV-012,2022/06/26 21:45,ProviderName,CustomerName,Goal1,4.56,project-13
contract-15,WXY-345,2022/06/25 05:25,ProviderName,CustomerName,Goal1,13.79,project-14
contract-16,ZA-678,2022/06/24 17:35,ProviderName,CustomerName,Goal1,2.81,project-15
contract-17,BC-901,2022/06/23 10:30,ProviderName,CustomerName,Goal1,15.03,project-16
contract-18,DE-234,2022/06/22 22:55,ProviderName,CustomerName,Goal1,1.45,project-17
contract-19,FGH-567,2022/06/21 07:15,ProviderName,CustomerName,Goal1,18.05,project-18
contract-20,I-890,2022/06/20 14:00,ProviderName,CustomerName,Goal1,0.98,project-19
