key,code,title,summary,cost,url,key:manager,published
project-01,MMG-1098,Example Project,This is an example,USD 100000.0,http://www.exampleproject.com,manager-01,true
project-02,ABC-1098,Example Project,This is an example,USD 100000.0,http://www.exampleproject.com,manager-02,false
project-03,AAA-9999,Example Project,This is an example,USD 100000.0,http://www.exampleproject.com,manager-01,false
project-04,AAB-1000,E,This is an example,USD 100000.0,http://www.exampleproject.com,manager-02,false
project-05,AAD-1000,ProjectAcmProjectAcmProjectAcmProjectAcmProjectAcmProjectAcmProjectAcmProje,This is an example,USD 100000.0,http://www.exampleproject.com,manager-01,false
project-06,AAE-1000,"$%&""""@ñ·#¿?",This is an example,USD 100000.0,http://www.exampleproject.com,manager-02,false
project-07,AAF-1000,這是一個項目,This is an example,USD 100000.0,http://www.exampleproject.com,manager-01,false
project-08,AAG-1000,<h1>Trying to hack...</h1>,This is an example,USD 100000.0,http://www.exampleproject.com,manager-02,false
project-09,AAH-1000,Example Project,T,USD 100000.0,http://www.exampleproject.com,manager-01,false
project-10,AAI-1000,Example Project,This is an example pThis is an example pThis is an example pThis is an example pThis is an example p,USD 100000.0,http://www.exampleproject.com,manager-01,false
project-11,AAJ-1000,Example Project,"$%&""""@·ñ#¿?",USD 100000.0,http://www.exampleproject.com,manager-01,false
project-12,AAK-1000,Example Project,這是一個項目,USD 100000.0,http://www.exampleproject.com,manager-02,false
project-13,AAL-1000,Example Project,<h1>Trying to hack...</h1>,USD 100000.0,http://www.exampleproject.com,manager-01,false
project-14,AAM-1000,Example Project,This is an example,USD 0.00,http://www.exampleproject.com,manager-02,false
project-15,AAN-1000,Example Project,This is an example,USD 0.00,http://www.exampleproject.com,manager-01,false
project-16,AAO-1000,Example Project,This is an example,USD 0.99,http://www.exampleproject.com,manager-01,false
project-17,AAP-1000,Example Project,This is an example,USD 999999.0,http://www.exampleproject.com,manager-02,false
project-18,AAQ-1000,Example Project,This is an example,USD 1001.0,http://www.exampleproject.com,manager-01,false
project-19,AAR-1000,Example Project,This is an example,USD 100000.0,null,manager-01,false
project-20,AAS-1000,Example Project,This is an example,USD 100000.0,ftp://user:pass@acmeUser,manager-02,false
project-21,AAT-1000,Example Project,This is an example,USD 100000.0,http://www.exampleproject.com/?user=danfercab,manager-01,false
project-22,AAU-1000,Example Project,This is an example,USD 100000.0,https://www.contadordecaracteres.com/11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,manager-02,false
